1646222, 0.77, -0.43, 0.49, -0.24, -3.54, 4.21, 22.36, -13.65, 29.41
1646271, 0.77, -0.43, 0.49, 0.37, -2.93, 4.88, 24.46, -14.85, 32.11
1646281, 0.76, -0.41, 0.50, 0.12, -2.26, 5.24, 22.36, -14.70, 30.91
1646290, 0.77, -0.41, 0.48, -1.28, -2.13, 5.37, 22.21, -15.30, 31.66
1646299, 0.77, -0.41, 0.49, -1.71, -1.65, 5.37, 22.06, -15.90, 31.21
1646308, 0.77, -0.41, 0.50, -1.83, -1.40, 5.37, 22.66, -15.30, 30.61
1646318, 0.78, -0.42, 0.49, -2.74, -1.10, 5.37, 21.46, -15.30, 30.01
1646327, 0.79, -0.44, 0.49, -1.89, -0.91, 5.37, 21.91, -14.25, 31.06
1646336, 0.79, -0.44, 0.49, -0.67, -0.73, 5.61, 22.96, -14.85, 30.31
1646345, 0.77, -0.45, 0.48, -0.30, -0.67, 5.79, 22.96, -16.05, 31.06
1646355, 0.76, -0.43, 0.49, 0.73, -0.30, 5.55, 21.16, -14.55, 30.01
1646364, 0.76, -0.43, 0.49, 1.34, -0.12, 5.49, 22.21, -15.30, 31.36
1646373, 0.76, -0.43, 0.51, 1.46, 0.43, 5.12, 22.21, -15.30, 31.36
1646382, 0.75, -0.42, 0.52, 0.73, 0.55, 4.70, 21.31, -14.40, 31.21
1646392, 0.76, -0.41, 0.53, -1.28, 0.24, 3.90, 22.36, -15.15, 30.16
1646474, 0.76, -0.42, 0.53, -3.78, 0.00, 2.99, 22.36, -15.90, 31.21
1646483, 0.75, -0.43, 0.53, -5.61, -0.06, 2.01, 22.36, -15.90, 31.21
1646492, 0.75, -0.44, 0.51, -5.79, 0.12, 0.79, 20.56, -15.90, 31.21
1646501, 0.75, -0.46, 0.51, -5.30, 0.67, -0.43, 20.86, -15.30, 31.06
1646511, 0.76, -0.46, 0.52, -2.93, 1.04, -1.04, 21.01, -15.45, 31.51
1646520, 0.78, -0.45, 0.51, -0.37, 1.04, -1.52, 20.41, -16.35, 32.41
1646529, 0.78, -0.44, 0.51, 1.16, 0.79, -1.83, 21.46, -16.05, 31.06
1646538, 0.77, -0.43, 0.50, 2.80, 0.30, -2.13, 22.81, -15.90, 31.21
1646548, 0.75, -0.41, 0.52, 3.29, -0.18, -2.44, 21.76, -16.20, 30.91
1646557, 0.75, -0.40, 0.52, 2.62, -0.61, -3.23, 21.91, -14.85, 30.31
1646566, 0.74, -0.40, 0.52, 1.83, -0.67, -3.96, 21.01, -14.70, 29.86
1646576, 0.73, -0.40, 0.51, 0.73, -0.73, -4.63, 21.01, -15.90, 30.16
1646585, 0.73, -0.41, 0.51, -0.55, -0.55, -5.30, 21.76, -17.70, 31.51
1646594, 0.72, -0.42, 0.50, -1.40, -0.24, -5.79, 23.11, -15.45, 30.91
1646629, 0.73, -0.44, 0.50, -1.71, 0.24, -6.28, 21.31, -16.95, 29.41
1646638, 0.74, -0.45, 0.49, -2.38, 0.43, -6.46, 22.66, -16.35, 28.96
1646648, 0.75, -0.46, 0.50, -3.17, 0.61, -6.59, 22.06, -16.50, 31.51
1646657, 0.75, -0.46, 0.50, -3.23, 0.67, -6.52, 20.56, -16.50, 29.86
1646666, 0.75, -0.46, 0.49, -3.23, 0.85, -6.46, 21.91, -16.35, 29.56
1646675, 0.74, -0.47, 0.48, -2.87, 1.10, -6.28, 22.06, -16.50, 30.16
1646685, 0.73, -0.47, 0.48, -1.83, 1.28, -6.10, 21.76, -16.50, 30.91
1646694, 0.73, -0.46, 0.48, -0.98, 1.59, -5.67, 21.31, -17.25, 29.11
1646703, 0.74, -0.45, 0.47, 0.00, 1.77, -5.30, 22.81, -17.25, 29.11
1646712, 0.75, -0.43, 0.48, 1.77, 1.46, -4.51, 22.81, -16.95, 30.91
1646722, 0.76, -0.43, 0.46, 3.05, 0.91, -3.72, 21.76, -15.15, 31.51
1646731, 0.76, -0.43, 0.48, 3.48, -0.30, -2.93, 21.76, -16.20, 29.41
1646740, 0.76, -0.41, 0.48, 3.41, -1.46, -2.13, 21.46, -16.35, 29.56
1646749, 0.76, -0.42, 0.49, 2.62, -2.74, -1.65, 21.31, -15.45, 30.16
1646784, 0.77, -0.43, 0.48, 3.17, -5.00, -0.30, 23.11, -15.15, 30.16
1646794, 0.78, -0.42, 0.50, 3.35, -6.40, 0.37, 22.21, -16.05, 31.06
1646803, 0.78, -0.42, 0.49, 3.48, -7.74, 1.04, 22.21, -16.05, 31.06
1646812, 0.80, -0.42, 0.48, 2.44, -9.27, 1.52, 22.06, -15.90, 29.86
